,City,City Type,Total Rides,Total Drivers,Difference
0,West Samuelburgh,Urban,25,73,-48
1,Reynoldsfurt,Urban,19,67,-48
2,Port Angela,Urban,19,67,-48
3,South Michelleport,Urban,31,72,-41
4,West Anthony,Urban,30,70,-40
5,Jerryton,Urban,25,64,-39
6,Pattyland,Urban,21,59,-38
7,Williamsstad,Urban,23,59,-36
8,Grahamburgh,Urban,25,61,-36
9,Liumouth,Urban,33,69,-36
10,East Kaylahaven,Urban,29,65,-36
11,Royland,Urban,30,64,-34
12,West Gabriel,Urban,23,57,-34
13,Lake Scottton,Urban,24,58,-34
14,Port Samanthamouth,Urban,25,57,-32
15,New Jacobville,Urban,18,50,-32
16,Deanville,Urban,19,49,-30
17,South Jack,Urban,19,46,-27
18,Williamsview,Urban,20,46,-26
19,Carriemouth,Urban,27,52,-25
20,New Paulton,Urban,19,44,-25
21,Erikaland,Urban,12,37,-25
22,Roberthaven,Urban,24,47,-23
23,Valentineton,Urban,22,45,-23
24,New Paulville,Urban,22,44,-22
25,West Josephberg,Urban,26,45,-19
26,Joneschester,Urban,25,39,-14
27,Christopherfurt,Urban,27,41,-14
28,Huntermouth,Urban,24,37,-13
29,Lewishaven,Suburban,12,23,-11
30,Rodneyfort,Urban,23,34,-11
31,Richardfort,Urban,28,38,-10
32,West Patrickchester,Urban,16,25,-9
33,Justinberg,Urban,30,39,-9
34,West Angela,Urban,39,48,-9
35,Lake Omar,Suburban,14,22,-8
36,Hurleymouth,Urban,28,36,-8
37,West Robert,Urban,31,39,-8
38,North Markport,Urban,14,22,-8
39,East Kentstad,Suburban,13,20,-7
40,West Ericstad,Urban,18,25,-7
41,South Phillip,Urban,31,38,-7
42,Davidfurt,Suburban,17,23,-6
43,Johnton,Urban,21,27,-6
44,West Christopherberg,Urban,26,32,-6
45,East Danielview,Suburban,17,22,-5
46,Rodriguezview,Suburban,15,20,-5
47,Karenberg,Urban,17,22,-5
48,Lake Scott,Suburban,18,23,-5
49,Barajasview,Urban,22,26,-4
50,Randallchester,Rural,5,9,-4
51,Garzaport,Rural,3,7,-4
52,Bethanyland,Suburban,18,22,-4
53,South Saramouth,Rural,4,7,-3
54,Veronicaberg,Suburban,17,20,-3
55,North Jasmine,Urban,30,33,-3
56,New Olivia,Suburban,17,20,-3
57,New Kimberlyborough,Urban,30,33,-3
58,Myersshire,Suburban,16,19,-3
59,Rogerston,Urban,22,25,-3
60,New Shannonberg,Suburban,17,20,-3
61,Victoriaport,Suburban,14,16,-2
62,Penaborough,Rural,5,6,-1
63,Martinezhaven,Urban,24,25,-1
64,Colemanland,Suburban,22,23,-1
